param,mlp_mse_cv_results,mlp_adj_r2_cv_results,mlp_mse_mean,mlp_mse_95_ci_lower,mlp_mse_95_ci_upper,mlp_adj_r2_mean,mlp_adj_r2_95_ci_lower,mlp_adj_r2_95_ci_upper
"{'hidden_layer_sizes': [180, 120, 60], 'max_iter': 1000}","[11.546774193548387, 16.261290322580646, 12.333870967741936, 13.051612903225806, 12.824193548387097, 11.790322580645162, 12.135483870967741, 11.889516129032257, 19.713709677419356, 14.220967741935484, 10.887903225806452, 11.425806451612903, 15.99758064516129, 14.475806451612904, 10.741935483870968]","[0.3785460703713892, 0.2924744773986693, 0.29693654203023756, 0.36331545371204144, 0.38118512480773703, 0.40481567056860923, 0.321468416174308, 0.36690099757096584, 0.17378642376237696, 0.2890582164570995, 0.37518728822609093, 0.3526603228812667, 0.35799999874619814, 0.3378944720004895, 0.41744451428929663]",13.286451612903226,11.92028020319784,14.652623022608612,0.3406449325997851,0.30720537968572575,0.3740844855138445
"{'hidden_layer_sizes': [180, 120, 60], 'max_iter': 500}","[11.546774193548387, 16.261290322580646, 12.333870967741936, 13.051612903225806, 12.824193548387097, 11.790322580645162, 12.135483870967741, 11.889516129032257, 19.713709677419356, 14.220967741935484, 10.887903225806452, 11.425806451612903, 15.99758064516129, 14.475806451612904, 10.741935483870968]","[0.3785460703713892, 0.2924744773986693, 0.29693654203023756, 0.36331545371204144, 0.38118512480773703, 0.40481567056860923, 0.321468416174308, 0.36690099757096584, 0.17378642376237696, 0.2890582164570995, 0.37518728822609093, 0.3526603228812667, 0.35799999874619814, 0.3378944720004895, 0.41744451428929663]",13.286451612903226,11.92028020319784,14.652623022608612,0.3406449325997851,0.30720537968572575,0.3740844855138445
"{'hidden_layer_sizes': [180, 120, 60], 'max_iter': 200}","[11.546774193548387, 16.261290322580646, 12.333870967741936, 13.051612903225806, 12.824193548387097, 11.790322580645162, 12.135483870967741, 11.889516129032257, 19.713709677419356, 14.220967741935484, 10.887903225806452, 11.425806451612903, 15.99758064516129, 14.475806451612904, 10.741935483870968]","[0.3785460703713892, 0.2924744773986693, 0.29693654203023756, 0.36331545371204144, 0.38118512480773703, 0.40481567056860923, 0.321468416174308, 0.36690099757096584, 0.17378642376237696, 0.2890582164570995, 0.37518728822609093, 0.3526603228812667, 0.35799999874619814, 0.3378944720004895, 0.41744451428929663]",13.286451612903226,11.92028020319784,14.652623022608612,0.3406449325997851,0.30720537968572575,0.3740844855138445
"{'hidden_layer_sizes': [120, 60, 30], 'max_iter': 500}","[11.591935483870968, 15.531451612903226, 12.823387096774194, 12.629032258064516, 13.024193548387096, 11.645967741935484, 11.724193548387097, 12.037096774193548, 18.39516129032258, 13.735483870967743, 10.750806451612902, 13.208064516129033, 16.65483870967742, 14.004032258064516, 11.776612903225807]","[0.376115464137334, 0.3242296151666817, 0.26903282037549403, 0.3839298075340192, 0.3715343834514496, 0.41210281112731106, 0.34446490127206864, 0.35904254831067184, 0.2290475895283215, 0.31332877070984, 0.38305471737960284, 0.2516848368259025, 0.3316235304787257, 0.35947284157596104, 0.36133200016265743]",13.302150537634411,12.134954487698415,14.469346587570406,0.33799977586906943,0.3089160928262737,0.36708345891186517
"{'hidden_layer_sizes': [120, 60, 30], 'max_iter': 200}","[11.591935483870968, 15.531451612903226, 12.823387096774194, 12.629032258064516, 13.024193548387096, 11.645967741935484, 11.724193548387097, 12.037096774193548, 18.39516129032258, 13.735483870967743, 10.750806451612902, 13.208064516129033, 16.65483870967742, 14.004032258064516, 11.776612903225807]","[0.376115464137334, 0.3242296151666817, 0.26903282037549403, 0.3839298075340192, 0.3715343834514496, 0.41210281112731106, 0.34446490127206864, 0.35904254831067184, 0.2290475895283215, 0.31332877070984, 0.38305471737960284, 0.2516848368259025, 0.3316235304787257, 0.35947284157596104, 0.36133200016265743]",13.302150537634411,12.134954487698415,14.469346587570406,0.33799977586906943,0.3089160928262737,0.36708345891186517
"{'hidden_layer_sizes': [120, 60, 30], 'max_iter': 1000}","[11.591935483870968, 15.531451612903226, 12.823387096774194, 12.629032258064516, 13.024193548387096, 11.645967741935484, 11.724193548387097, 12.037096774193548, 18.39516129032258, 13.735483870967743, 10.750806451612902, 13.208064516129033, 16.65483870967742, 14.004032258064516, 11.776612903225807]","[0.376115464137334, 0.3242296151666817, 0.26903282037549403, 0.3839298075340192, 0.3715343834514496, 0.41210281112731106, 0.34446490127206864, 0.35904254831067184, 0.2290475895283215, 0.31332877070984, 0.38305471737960284, 0.2516848368259025, 0.3316235304787257, 0.35947284157596104, 0.36133200016265743]",13.302150537634411,12.134954487698415,14.469346587570406,0.33799977586906943,0.3089160928262737,0.36708345891186517
"{'hidden_layer_sizes': [120, 60], 'max_iter': 200}","[12.160483870967742, 15.921774193548387, 11.764516129032257, 12.941129032258065, 14.408064516129032, 12.385483870967741, 12.962903225806452, 12.955645161290322, 16.572580645161292, 14.233870967741936, 10.713709677419354, 11.665322580645162, 16.592741935483872, 14.083064516129033, 11.151612903225807]","[0.34551586779788923, 0.3072467569570485, 0.32939128253806105, 0.36870508438687155, 0.3047574795506873, 0.37477148211988376, 0.27520489909528356, 0.310131216575837, 0.30543305413445876, 0.2884131518922426, 0.38518355115055314, 0.33909031412179014, 0.33411554036411883, 0.35585800359579645, 0.3952269327021316]",13.367526881720432,12.322019632125137,14.413034131315726,0.3346029744655102,0.3145381357041736,0.35466781322684676
"{'hidden_layer_sizes': [60, 30], 'max_iter': 1000}","[11.970967741935484, 14.870161290322581, 13.358870967741936, 13.903225806451612, 12.99274193548387, 12.52016129032258, 12.063709677419356, 12.345967741935484, 18.37983870967742, 13.876612903225807, 11.042741935483871, 11.431451612903226, 16.85241935483871, 14.537903225806451, 11.220161290322581]","[0.3557157332443708, 0.3530022261830025, 0.23850881513867417, 0.32177202310897135, 0.3730520403582853, 0.3679728649505922, 0.3254815282796034, 0.3425956299134447, 0.2296897682130632, 0.30627337703171775, 0.36630172118212456, 0.35234049102498277, 0.3236944081161114, 0.33505424215893165, 0.39150942397199573]",13.424462365591397,12.27126620836377,14.577658522819025,0.3321976195250581,0.30685406324943304,0.3575411758006832
"{'hidden_layer_sizes': [60, 30], 'max_iter': 500}","[11.970967741935484, 14.870161290322581, 13.358870967741936, 13.903225806451612, 12.99274193548387, 12.52016129032258, 12.063709677419356, 12.345967741935484, 18.37983870967742, 13.876612903225807, 11.042741935483871, 11.431451612903226, 16.85241935483871, 14.537903225806451, 11.220161290322581]","[0.3557157332443708, 0.3530022261830025, 0.23850881513867417, 0.32177202310897135, 0.3730520403582853, 0.3679728649505922, 0.3254815282796034, 0.3425956299134447, 0.2296897682130632, 0.30627337703171775, 0.36630172118212456, 0.35234049102498277, 0.3236944081161114, 0.33505424215893165, 0.39150942397199573]",13.424462365591397,12.27126620836377,14.577658522819025,0.3321976195250581,0.30685406324943304,0.3575411758006832
"{'hidden_layer_sizes': [60, 30, 15], 'max_iter': 500}","[11.260483870967741, 16.62741935483871, 11.941129032258065, 13.900806451612903, 14.246774193548386, 13.016935483870968, 11.501612903225807, 11.531451612903226, 17.263709677419357, 14.462903225806452, 11.10483870967742, 11.399193548387096, 17.41774193548387, 14.714516129032258, 11.166935483870967]","[0.39395437774798914, 0.276544275689633, 0.319323877196399, 0.3218900442186392, 0.31254033548317706, 0.3428953309608702, 0.35691005791320973, 0.38596739905495747, 0.2764674155647864, 0.27696325586603265, 0.3627382385655339, 0.3541681016323196, 0.30100740902961065, 0.32697618585631927, 0.39439596016245426]",13.437096774193547,12.168248603748307,14.705944944638787,0.33351615099612875,0.3107789623899287,0.3562533396023288
