param,rf_mse_cv_results,rf_adj_r2_cv_results,rf_mse_mean,rf_mse_95_ci_lower,rf_mse_95_ci_upper,rf_adj_r2_mean,rf_adj_r2_95_ci_lower,rf_adj_r2_95_ci_upper
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}","[10.606451612903227, 14.312096774193549, 11.94516129032258, 12.241129032258064, 11.7]","[0.4291547644590382, 0.37728350279677547, 0.3190940277593748, 0.40285252545075856, 0.4354316306571908]",12.160967741935485,10.482496330707958,13.839439153163012,0.3927632902246276,0.334149701810783,0.45137687863847215
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}","[10.608870967741936, 14.270967741935484, 11.991129032258064, 12.25241935483871, 11.736290322580645]","[0.4290245534107854, 0.37907301884779065, 0.31647374417729834, 0.4023017602723087, 0.4336804880723807]",12.171935483870968,10.520235030651794,13.823635937090142,0.3921107129561127,0.3329344221897699,0.45128700372245556
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}","[10.59758064516129, 14.263709677419355, 11.950806451612904, 12.200806451612904, 11.863709677419354]","[0.4296322049692991, 0.3793888157979697, 0.3187722385475408, 0.404819543945222, 0.42753203188571365]",12.175322580645162,10.532897499130412,13.817747662159912,0.3920289670291491,0.3352495049592588,0.44880842909903934
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}","[10.539516129032258, 14.270967741935484, 12.01774193548387, 12.110483870967743, 11.958870967741936]","[0.4327572701273702, 0.37907301884779065, 0.3149567378929383, 0.40922566537282046, 0.4229401468855448]",12.179516129032258,10.520210873827736,13.83882138423678,0.39179056782529287,0.3328353103303191,0.45074582532026664
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}","[10.67016129032258, 14.25, 12.009677419354839, 12.064516129032258, 11.912903225806451]","[0.42572587352171054, 0.3799853211483081, 0.31541643676698683, 0.4114680664565089, 0.42515826082630437]",12.181451612903226,10.577085579299444,13.785817646507008,0.3915507917439637,0.3338959314862437,0.44920565200168366
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}","[10.595161290322581, 14.387096774193548, 11.941129032258065, 12.287096774193548, 11.783064516129032]","[0.42976241601755216, 0.3740202676449246, 0.319323877196399, 0.4006101243670701, 0.4314234598519586]",12.198709677419355,10.486369207747394,13.911050147091316,0.39102802901558087,0.3332715991868908,0.44878445884427093
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}","[10.488709677419354, 14.25241935483871, 12.098387096774193, 12.189516129032258, 11.975806451612904]","[0.4354917021406822, 0.37988005549824844, 0.31035974915245335, 0.4053703091236719, 0.4221229470126333]",12.200967741935484,10.53491178315799,13.867023700712979,0.3906449525855379,0.3292468081700927,0.45204309700098305
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}","[10.637096774193548, 14.274193548387096, 12.016935483870968, 12.10725806451613, 11.975806451612904]","[0.4275054245145008, 0.378932664647711, 0.3150027077803431, 0.4093830268523775, 0.4221229470126333]",12.20225806451613,10.578892632098393,13.825623496933867,0.39058935416151314,0.3331512022940298,0.4480275060289965
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}","[10.433064516129033, 14.558064516129033, 11.880645161290323, 12.336290322580645, 11.817741935483872]","[0.43848655625050026, 0.3665814950407049, 0.32277161875176275, 0.3982103618038245, 0.4297501458264734]",12.205161290322582,10.347941574859963,14.062381005785202,0.39116003553465317,0.33206744862257415,0.4502526224467322
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}","[10.469354838709677, 14.50725806451613, 11.987903225806452, 12.316935483870967, 11.775806451612903]","[0.4365333905267059, 0.3687920736919589, 0.31665762372691775, 0.399154530681167, 0.4317736883689205]",12.211451612903225,10.39542347441655,14.027479751389901,0.390582261399134,0.3290559996283978,0.45210852316987016
