param,xgb_mse_cv_results,xgb_adj_r2_cv_results,early_stopping_rounds,early_stopping_round_mean,xgb_mse_mean,xgb_mse_95_ci_lower,xgb_mse_95_ci_upper,xgb_adj_r2_mean,xgb_adj_r2_95_ci_lower,xgb_adj_r2_95_ci_upper
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 1, 'subsample': 0.8}","[10.946774193548388, 13.734677419354838, 12.714516129032258, 12.17258064516129, 11.875, 11.762903225806452, 10.483064516129032, 11.70483870967742, 16.563709677419354, 13.079032258064515, 10.533870967741935, 10.85, 16.01451612903226, 13.408870967741935, 11.591935483870968]","[0.4108384103381224, 0.40240690461102624, 0.2752387551751486, 0.40619645689134665, 0.4269872319704394, 0.4061998201719381, 0.4138601768906053, 0.3767347947327543, 0.3058048417940461, 0.3461464304469343, 0.39550376704016, 0.3852831722222305, 0.3573203596865454, 0.3866947847327097, 0.3713474060356119]","[447, 1029, 809, 1802, 811, 996, 809, 672, 480, 866, 497, 750, 509, 1416, 1187]",872.0,12.495752688172043,11.479319841595016,13.51218553474907,0.3777708875159746,0.3545363565020147,0.4010054185299345
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 3, 'subsample': 0.8}","[11.008064516129032, 13.854032258064516, 12.650806451612903, 12.29758064516129, 11.893548387096773, 11.49274193548387, 10.261290322580646, 11.698387096774194, 16.529032258064515, 13.380645161290323, 10.45241935483871, 11.137903225806452, 16.25241935483871, 13.387903225806452, 11.39516129032258]","[0.40753973044904745, 0.39721379920808064, 0.2788703762801318, 0.40009869955850963, 0.4260922035382031, 0.4198377647929721, 0.4262602423844959, 0.3770783334982316, 0.30725819355425155, 0.3310680462434046, 0.4001779455372466, 0.36897174755174866, 0.34777304908666284, 0.38765382338050836, 0.382018842860943]","[423, 1471, 880, 3062, 1097, 876, 975, 667, 501, 744, 380, 1122, 492, 1571, 1224]",1032.0,12.512795698924728,11.46307533612421,13.562516061725248,0.3771941865282959,0.3529903319252799,0.4013980411313119
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 1}","[11.024193548387096, 14.433064516129033, 12.584677419354838, 12.20241935483871, 12.112903225806452, 11.980645161290322, 10.401612903225807, 11.337096774193549, 16.601612903225806, 13.483870967741936, 10.432258064516128, 10.42741935483871, 16.198387096774194, 13.35483870967742, 11.293548387096774]","[0.40667165679402795, 0.37202022029379, 0.28263990704732944, 0.40474086320544356, 0.4155075194700171, 0.39520804391020925, 0.418414382762907, 0.39631650436496213, 0.30421629452126364, 0.3259075297245493, 0.401334920412763, 0.40922487117834405, 0.34994142132460226, 0.38916615355588335, 0.38752950286090915]","[1215, 1879, 1363, 2394, 3642, 1625, 2951, 1500, 1277, 2461, 1199, 1745, 1883, 2916, 2808]",2057.0,12.524569892473117,11.432910914323081,13.616228870623154,0.3772559860951334,0.35384984129152386,0.4006621308987429
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 0.8}","[10.961290322580645, 13.946774193548388, 12.591935483870968, 12.179032258064517, 11.670967741935485, 12.18467741935484, 10.244354838709677, 11.17016129032258, 17.051612903225806, 13.311290322580644, 10.346774193548388, 10.727419354838709, 16.278225806451612, 13.720967741935484, 11.512096774193548]","[0.4100571440486046, 0.39317861595579184, 0.28222617806068573, 0.40588173393223237, 0.43683254472503896, 0.38490834245014494, 0.42720715647675667, 0.405205569921688, 0.28535652051673954, 0.3345352682795102, 0.40624049388495276, 0.3922280925301108, 0.34673740861481117, 0.3724198633212439, 0.3756772103212995]","[932, 1892, 1629, 3247, 1365, 1882, 2022, 1227, 788, 2057, 945, 1958, 1080, 3759, 3072]",1857.0,12.526505376344085,11.398363237133218,13.654647515554952,0.3772461428693074,0.3514594420395714,0.4030328436990434
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 1}","[11.023387096774194, 14.390322580645162, 12.661290322580646, 12.265322580645162, 11.903225806451612, 12.051612903225806, 10.384677419354839, 11.397580645161291, 16.47983870967742, 13.591935483870968, 10.385483870967741, 10.478225806451613, 16.254032258064516, 13.415322580645162, 11.299193548387096]","[0.40671506047677886, 0.37387991344484484, 0.2782727677438688, 0.40167231435408046, 0.4256252321822538, 0.39162553905453457, 0.41936129685516776, 0.3930958284386121, 0.30931992512105433, 0.3205051139938728, 0.4040191021239611, 0.4063463844717884, 0.34770832155717213, 0.3863996959180024, 0.3872233550831333]","[1371, 1824, 1191, 2151, 2540, 1969, 3240, 1479, 1342, 3540, 1214, 1423, 2153, 4302, 2396]",2142.0,12.532096774193548,11.444197934571095,13.619995613816,0.37678465672127504,0.3527850924519867,0.4007842209905634
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[11.124193548387098, 14.035483870967742, 12.599193548387097, 12.109677419354838, 11.800806451612903, 11.728225806451613, 10.258064516129032, 11.27016129032258, 16.780645161290323, 13.438709677419356, 10.391129032258064, 10.84032258064516, 16.45967741935484, 13.6, 11.550806451612903]","[0.4012896001329057, 0.38931887545360233, 0.2818124490740421, 0.40926500574270963, 0.4305673456993847, 0.4079503623173245, 0.42644060697349795, 0.39988071905678946, 0.2967129435732272, 0.32816525570154853, 0.40369514915881655, 0.38583145540443164, 0.339455561547104, 0.3779527785970058, 0.37357791127369333]","[1050, 1964, 2587, 3244, 3062, 1887, 2022, 1188, 877, 2111, 955, 2002, 1167, 3774, 4019]",2127.0,12.532473118279572,11.422764321030526,13.642181915528619,0.3767944013137389,0.3517288424188081,0.40185996020866976
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[11.124193548387098, 14.089516129032258, 12.578225806451613, 12.125, 11.848387096774193, 11.75241935483871, 10.271774193548387, 11.274193548387096, 16.780645161290323, 13.410483870967742, 10.380645161290323, 10.82741935483871, 16.445967741935483, 13.6, 11.491129032258064]","[0.4012896001329057, 0.38696794260226886, 0.28300766614656814, 0.40851753871481356, 0.42827140319930024, 0.4067290538437991, 0.42567405747023923, 0.3996660073283661, 0.2967129435732272, 0.32957633443717294, 0.4042967760940852, 0.38656249964736644, 0.3400057455477753, 0.3779527785970058, 0.3768143306387528]","[1050, 1946, 2588, 3244, 3178, 1868, 2022, 1188, 877, 2111, 955, 2002, 1167, 3762, 3766]",2115.0,12.533333333333331,11.423388314247564,13.643278352419099,0.37680297853157646,0.35211984320659273,0.4014861138565602
"{'colsample_bytree': 1, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[11.037096774193548, 14.009677419354839, 12.561290322580644, 12.050806451612903, 11.887903225806452, 11.692741935483872, 10.238709677419354, 11.408870967741935, 16.68548387096774, 13.503225806451614, 10.380645161290323, 10.82983870967742, 16.551612903225806, 13.796774193548387, 11.366129032258064]","[0.4059771978700121, 0.39044170905423925, 0.28397303378207006, 0.4121368527446264, 0.42636460349584016, 0.4097416147451618, 0.4275227945075102, 0.39249463559902686, 0.30070121119425564, 0.3249399328772641, 0.4042967760940852, 0.3864254288518161, 0.33576609236613253, 0.36895256974843305, 0.3835933171466477]","[1086, 3446, 2445, 3072, 3091, 1883, 2305, 1178, 892, 2284, 938, 1206, 1083, 4039, 2645]",2106.0,12.533387096774197,11.414734265355987,13.652039928192407,0.3768885180051414,0.3519532005227564,0.40182383548752637
"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 0.8}","[11.037096774193548, 14.001612903225807, 12.490322580645161, 12.089516129032258, 11.879032258064516, 11.711290322580645, 10.258064516129032, 11.408870967741935, 16.68548387096774, 13.514516129032257, 10.380645161290323, 10.805645161290322, 16.551612903225806, 13.72258064516129, 11.495967741935484]","[0.4059771978700121, 0.39079259455443816, 0.2880183838736967, 0.4102485149899414, 0.42679266057212717, 0.4088052782487923, 0.42644060697349795, 0.39249463559902686, 0.30070121119425564, 0.3243755013830143, 0.4042967760940852, 0.3877961368073187, 0.33576609236613253, 0.3723460911175671, 0.3765519182578021]","[1086, 2214, 2187, 3072, 3022, 1974, 2305, 1178, 892, 2262, 938, 1206, 1083, 4039, 3027]",2032.0,12.535483870967743,11.422027762665204,13.648939979270283,0.3767602399934473,0.35226018137133996,0.4012602986155547
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 1, 'subsample': 0.8}","[10.941129032258065, 13.75, 12.704032258064515, 12.26774193548387, 11.873387096774193, 11.733064516129032, 10.641935483870968, 11.765322580645162, 16.59758064516129, 13.241935483870968, 10.54516129032258, 10.870161290322581, 16.01290322580645, 13.490322580645161, 11.667741935483871]","[0.4111422361173793, 0.4017402221606481, 0.27583636371141174, 0.4015542932444125, 0.42706506052976434, 0.40770610062261947, 0.40497722088225463, 0.3735141188064043, 0.30438528891198524, 0.338002490315616, 0.3948558611098707, 0.38414091559264485, 0.3573850872160361, 0.38296928844703004, 0.36723627873404974]","[443, 907, 758, 2536, 811, 832, 953, 728, 480, 735, 408, 1041, 451, 1512, 1188]",919.0,12.540161290322578,11.526907179188186,13.55341540145697,0.3755007217601418,0.35233223473871184,0.3986692087815718
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'reg_lambda': 3, 'subsample': 0.8}","[10.968548387096774, 13.914516129032258, 12.693548387096774, 12.314516129032258, 11.879032258064516, 11.475806451612904, 10.371774193548386, 11.701612903225806, 16.587096774193547, 13.499193548387098, 10.485483870967743, 11.129838709677419, 16.237903225806452, 13.419354838709678, 11.428225806451612]","[0.40966651090384587, 0.3945821579565879, 0.27643397224767474, 0.3992725517908349, 0.42679266057212717, 0.42069268072443977, 0.4200827552111759, 0.37690656411549295, 0.3048246743278613, 0.3251415155537818, 0.3982805067413995, 0.36942865020358284, 0.3483555968520794, 0.38621526540881024, 0.38022569159111286]","[423, 1474, 896, 3209, 1155, 853, 873, 668, 512, 732, 380, 1114, 492, 1583, 1274]",1043.0,12.540430107526882,11.487630312871763,13.593229902182001,0.3757934502800538,0.3512349516058014,0.40035194895430615
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'reg_lambda': 3, 'subsample': 1}","[11.063709677419356, 14.40725806451613, 12.487903225806452, 12.46774193548387, 11.82741935483871, 11.843548387096774, 10.45483870967742, 11.329032258064515, 16.530645161290323, 13.65725806451613, 10.183870967741935, 10.698387096774194, 16.16774193548387, 13.442741935483872, 11.579032258064515]","[0.40454487633922964, 0.3731430538944269, 0.2881562935359113, 0.39179788151187345, 0.429283174470524, 0.40212879192685336, 0.4154383670443732, 0.39674592782180873, 0.30719059579796293, 0.3172394746342849, 0.4155888508791258, 0.3938729420767141, 0.3511712443849261, 0.3851455684554962, 0.3720471723848138]","[114, 247, 353, 707, 309, 218, 264, 142, 129, 222, 160, 168, 199, 288, 280]",253.0,12.54274193548387,11.460220175854896,13.625263695112842,0.3762329476772217,0.3527912731093737,0.3996746222450697
"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 0.8}","[10.961290322580645, 14.098387096774193, 12.596774193548388, 12.19032258064516, 11.670967741935485, 12.255645161290323, 10.34758064516129, 11.173387096774194, 17.051612903225806, 13.293548387096774, 10.346774193548388, 10.739516129032259, 16.273387096774194, 13.706451612903226, 11.495161290322581]","[0.4100571440486046, 0.38658196855204996, 0.28195035873625673, 0.4053309687537826, 0.43683254472503896, 0.38132583759447025, 0.42143548962869115, 0.40503380053894933, 0.28535652051673954, 0.3354222320561885, 0.40624049388495276, 0.39154273855235944, 0.3469315912032833, 0.37308381315433525, 0.3765956536546272]","[932, 1474, 1629, 3190, 1365, 2052, 2022, 1227, 788, 2102, 945, 1958, 1080, 3759, 2489]",1801.0,12.54672043010753,11.42032018662477,13.673120673590292,0.37624807704002194,0.35083370830817745,0.40166244577186644
"{'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'reg_lambda': 1, 'subsample': 0.8}","[10.950806451612904, 14.049193548387096, 12.624193548387098, 12.071774193548388, 11.745161290322581, 12.254838709677419, 10.318548387096774, 11.120967741935484, 16.971774193548388, 13.389516129032257, 10.421774193548387, 10.423387096774194, 16.469354838709677, 13.900806451612903, 11.698387096774194]","[0.41062139192436753, 0.38872237010326405, 0.2803873825644918, 0.41111400312750535, 0.4332524309960937, 0.38136654787692115, 0.42305877092970956, 0.4078250530084526, 0.28870260945302595, 0.3306245643550654, 0.4019365473480315, 0.40945332250426114, 0.3390671963701597, 0.36419426261127785, 0.36557433365469494]","[1024, 1673, 1495, 2507, 1372, 2044, 1759, 1188, 750, 2204, 776, 1201, 1081, 4066, 2908]",1737.0,12.560698924731183,11.41412989947349,13.707267949988875,0.3757267191218215,0.3495204015812082,0.4019330366624348
